Time,X,Y,Psi,Roll,Rollrate,Delta,Velocity
3.505,9.22616655171981,23.8320113316979,0.924742378394863,-0.0973193666825994,0.00527995998104982,0.13323083950125,3
3.51,9.23450035959907,23.8444832059046,0.928185713894522,-0.0972929452816762,0.00528862754000921,0.133197352132606,3
3.515,9.24279136912836,23.8569835723384,0.928185713894522,-0.0972665175070009,0.00528244327346851,0.13315820511605,3
3.52,9.25108258972943,23.8694837987739,0.931627306336003,-0.0972401212384057,0.00527602460305624,0.133119058099494,3
3.525,9.25933094513996,23.8820123514843,0.931627306336003,-0.0972137404608425,0.00527627712061246,0.133082515208213,3
3.53,9.26757949802298,23.8945407741836,0.935066861151837,-0.0971873585602929,0.0052764738130644,0.133045972316932,3
3.535,9.27578509509531,23.9070973731133,0.935066861151837,-0.0971609445522243,0.00528917611031607,0.133014164276488,3
3.54,9.28399086443638,23.9196538594657,0.938504513911709,-0.0971344663345936,0.00530215865911222,0.132982356236043,3
3.545,9.29215360899999,23.9322383579136,0.938504513911709,-0.0971079609578264,0.00529997194123835,0.132944722367935,3
3.55,9.30031655783442,23.9448227238619,0.941940511082792,-0.0970814668158755,0.0052976645510709,0.132907088499827,3
3.555,9.30843641690424,23.9574349357489,0.941940511082792,-0.0970549686405215,0.00530161353115682,0.132871858794823,3
3.56,9.31655646761402,23.9700470242542,0.945374549456456,-0.0970284506019117,0.00530561016779805,0.132836629089819,3
3.565,9.32463333984137,23.9826868080744,0.945374549456456,-0.097001882534297,0.00532167902220136,0.132805931192981,3
3.57,9.33271037942,23.9953264849548,0.948806754188176,-0.096975233193229,0.00533812084246619,0.132775233296142,3
3.575,9.34074417371582,24.0079936925874,0.948806754188176,-0.0969485404557586,0.0053389677218796,0.132738513555491,3
3.58,9.34877816862295,24.0206607729861,0.952237361167396,-0.0969218435804341,0.00533977604764844,0.13270179381484,3
3.585,9.35676885551513,24.033355217558,0.952237361167396,-0.0968951280634232,0.00534645076671711,0.132667299731855,3
3.59,9.36475973126193,24.0460495432508,0.955666056992362,-0.0968683788739222,0.00535324557816288,0.132632805648869,3
3.595,9.37270721241303,24.0587710818114,0.955666056992362,-0.0968415665510896,0.00537175629808783,0.132602681265586,3
3.6,9.38065485884484,24.0714925171153,0.959092957522714,-0.0968146605869393,0.00539070359569504,0.132572556882303,3
3.605,9.38855904569099,24.0842410005662,0.959092957522714,-0.0967876983059899,0.00539421377310273,0.132536445720276,3
3.61,9.396463431082,24.0969893609151,0.962518290202225,-0.0967607183999942,0.00539775389269689,0.132500334558248,3
3.615,9.40432429588464,24.1097646027739,0.962518290202225,-0.0967337065980395,0.00540699771142234,0.13246636142335,3
3.62,9.41218534786661,24.1225397294556,0.965941743463721,-0.0967066481163866,0.00541642651368984,0.132432388288453,3
3.625,9.42000282553126,24.1353415669392,0.965941743463721,-0.0966795878055606,0.00540764816549304,0.132391480773282,3
3.63,9.42782052904696,24.1481432665035,0.969363428601619,-0.0966525721296621,0.00539857182871212,0.132350573258111,3
