Time,X_estimated,Y_estimated,Psi_estimated,Roll_estimated,Rollrate_estimated,Delta_estimated,Velocity_estimated,GPS_X,GPS_Y,a_y,w_x,w_z,Delta_enc,Velocity,Steerrate
14.79,7.1353718662797,33.9663761683894,1.29673608966539,-0.892726392957832,2.43448376283512,1.33589905648339,1.96258068533588,7.13275322392833,33.7497878592145,20.1909792583616,2.45590837452247,2.29293426277568,1.33594909771639,2,-1.04905350478964
14.8,7.05801761279872,33.9470258480608,1.55900009019844,-0.871986850135464,2.34217287220413,1.32612126545943,1.94998665121205,7.02566936987934,33.9184628265846,19.6742558404826,2.3737876657405,2.27609453227328,1.3261376420913,2,-0.981145562508449
14.81,7.04695002485515,33.9666576333084,1.58176075444354,-0.852100858912117,2.26178013985316,1.31706414468435,1.95043308035309,7.02566936987934,33.9184628265846,19.1736628189182,2.30483979329172,2.26048443704695,1.31704261788086,2,-0.909502421043917
14.82,7.03551562165861,33.9860377598522,1.60436596828576,-0.831840541595583,2.19210642295127,1.30849514772637,1.95087552457844,7.02566936987934,33.9184628265846,18.6869014636,2.24436389124232,2.24568041351381,1.30841724112989,2,-0.86253767509758
14.83,7.02371890239993,34.0051613522119,1.62682410955796,-0.811508845056142,2.13117769950873,1.30026939009512,1.95131401945826,7.02566936987934,33.9184628265846,18.2124028965879,2.19014754405426,2.23147933325643,1.3001431616395,2,-0.827407949039355
14.84,7.01156544066958,34.0240235145709,1.64914106939186,-0.791250774118403,2.07729142796684,1.29229837922131,1.95174860024519,7.02566936987934,33.9184628265846,17.7489891740507,2.1407257726522,2.21773657213933,1.29213611598948,2,-0.800704565001387
14.85,6.99906145774967,34.0426194217912,1.67132122009155,-0.771116394908122,2.02902425044543,1.28451455513272,1.95217930187722,7.02566936987934,33.9184628265846,17.2957555248611,2.09500066720388,2.2043333334536,1.28432688878251,2,-0.780922720697526
14.86,6.98621367443877,34.0609443780849,1.69336777440662,-0.751130333833938,1.98519632060104,1.27686136612578,1.95260615898045,7.02566936987934,33.9184628265846,16.8520046994906,2.05212437227639,2.19116900632451,1.2766568603671,2,-0.767002841540417
14.87,6.97302923708079,34.0789938634522,1.71528297447082,-0.731363599275328,1.94489311319169,1.2693023411695,1.95302920587192,7.02566936987934,33.9184628265846,16.4171827585339,2.01159298302699,2.17817947319772,1.26908867346257,2,-0.756818690453326
14.88,6.95951556104986,34.0967635574423,1.73706843645335,-0.711832873203368,1.90742826473381,1.26180822446027,1.95344847656234,7.02566936987934,33.9184628265846,15.9908309256876,1.97301796046477,2.16531070020457,1.26159084591992,2,-0.749782754264828
